cards from: /Users/luna/subject-resources/sixth-form/cards/languages/spanish/a2-aqa/unit5.txt
Round 1:
✓ distant (feminine)                                                                 lejana
✓ to be lowered (reflexive)                                                          rebajarse
✓ the war front                                                                      el frente
✗ the barrel of a gun                                                                el cañón
✗ to plunge (starts with s)                                                          sumir
✓ the shelter (same word for "coat")                                                 el abrigo
✓ the fate                                                                           el destino
✓ to travel through                                                                  recorrer
✓ to extradite                                                                       extraditar
✓ the great grandmother                                                              la bisabuela
✓ to carry out (3 words)                                                             llevar a cabo
✓ in honour of                                                                       en honor a
✓ agrarian (masculine)                                                               agrario
✓ to avoid                                                                           evitar
✓ repressive (feminine)                                                              represiva
✓ the passerby                                                                       el transeúnte
✓ to grant (starts wih o)                                                            otorgar
✓ the dramatist (male)                                                               el dramaturgo
✗ the comfort                                                                        la comodidad
✓ birth (adjective) (e.g birth country)                                              natal
✓ to persue                                                                          perseguir
✓ faltering (feminine)                                                               entrecortada
✓ repressive (masculine)                                                             represivo
✓ the radio station                                                                  la emisora
✓ DNA                                                                                ADN
✓ to play a part (3 words) (1st word starts with d)                                  desempeñar un papel
✓ the isolation                                                                      el aislamiento
✓ the womens' suffrage                                                               el sufragio femenino
✓ the lieutenant                                                                     el teniente
✓ to draw up                                                                         elaborar
✗ the reign                                                                          el reinado
✓ the agreement                                                                      el acuerdo
✗ to establish (starts with i)                                                       instaurar
✗ the endorsement (starts with a) (4 letters)                                        el aval
✓ faltering (masculine)                                                              entrecortado
✓ to concede                                                                         conceder
✗ the railways                                                                       los ferrocarriles
✓ the censorship                                                                     la censura
✓ to move (not reflexive) (starts with t)                                            trasladar
✓ to overthrow (it's derribar and the other one's derrocar)                          derribar
✓ the prisoner (starts with r) (masculine)                                           el reo
✓ without trial                                                                      sin juicio
✓ unexpected (feminine)                                                              improvista
Score: 154/181 (85.0828729281768%)

Round 2:
✓ the imprisonment (starts with r)                                                   la reclusión
✓ buoyant (always ends in e)                                                         boyante
✓ to barge in                                                                        irrumpir
✓ fateful (masculine)                                                                fatídico
✗ to overrun (starts with a)                                                         avasallar
✓ by means of (starts with m)                                                        mediante
✓ failed (feminine)                                                                  fallida
✓ to provide (starts with s)                                                         suministrar
✓ the forge                                                                          la fragua
✓ the squad                                                                          el pelotón
✓ the strike                                                                         la huelga
✓ relentless (no gender) (starts with i)                                             implacable
✓ the dismantling                                                                    el desmantelamiento
✓ to burn (starts with a)                                                            arder
✓ the overthrow                                                                      el derrocamiento
✓ to withdraw                                                                        retirar
✗ the location (starts with p)                                                       el paradero
✓ the regime                                                                         el régimen
✓ to shake/disturb                                                                   sacudir
✓ subsequent (starts with p)                                                         posterior
✓ the barrel of a gun                                                                el cañón
✓ to plunge (starts with s)                                                          sumir
✓ the comfort                                                                        la comodidad
✓ the reign                                                                          el reinado
✓ to establish (starts with i)                                                       instaurar
✓ the endorsement (starts with a) (4 letters)                                        el aval
✓ the railways                                                                       los ferrocarriles
Score: 25/27 (92.5925925925926%)

Round 3:
✓ to overrun (starts with a)                                                         avasallar
✓ the location (starts with p)                                                       el paradero
Score: 2/2 (100.0%)

max_streak = 19
perfect_streak = False
